,Day,Card,Sum
368,22,888708,0.0
369,28,888708,50.2
370,31,888708,0.0
371,18,888708,0.0
372,13,888708,154.3
373,19,888708,0.0
374,20,888708,30.94
375,15,888708,24.31
376,16,888708,0.0
377,17,888708,30.59
378,26,888708,11.2
379,14,888708,100.0
380,3,995472,90.61
381,23,995472,
382,24,995472,40.29
383,27,995472,0.0
384,21,995472,0.0
385,25,995472,15.0
386,29,995472,23.0
387,30,995472,19.1
388,22,995472,17.7
389,28,995472,11.9
390,31,995472,18.31
391,18,995472,29.45
392,13,995472,0.0
393,19,995472,32.3
394,20,995472,0.0
395,15,995472,0.0
396,16,995472,0.0
397,17,995472,0.0
398,26,995472,0.0
399,14,995472,0.0
400,3,1921749,350.49
401,23,1921749,0.0
402,24,1921749,0.0
403,27,1921749,0.0
404,21,1921749,0.0
405,25,1921749,0.0
406,29,1921749,0.0
407,30,1921749,0.0
408,22,1921749,0.0
409,28,1921749,0.0
410,31,1921749,0.0
411,18,1921749,300.0
412,13,1921749,4.52
413,19,1921749,0.0
414,20,1921749,0.0
415,15,1921749,0.0
416,16,1921749,0.0
417,17,1921749,0.0
418,26,1921749,0.0
419,14,1921749,0.0
420,3,1950810,148.11
421,23,1950810,0.0
422,24,1950810,0.0
423,27,1950810,0.0
424,21,1950810,0.0
425,25,1950810,0.0
426,29,1950810,0.0
427,30,1950810,0.0
428,22,1950810,0.0
429,28,1950810,0.0
430,31,1950810,0.0
431,18,1950810,0.0
432,13,1950810,13.4
433,19,1950810,0.0
434,20,1950810,0.0
435,15,1950810,0.0
436,16,1950810,0.0
437,17,1950810,0.0
438,26,1950810,0.0
439,14,1950810,0.0
440,3,789464,398.12
441,23,789464,20.0
442,24,789464,0.0
443,27,789464,149.62
444,21,789464,300.0
445,25,789464,90.0
446,29,789464,0.0
447,30,789464,0.0
448,22,789464,34.61
449,28,789464,0.0
450,31,789464,0.0
451,18,789464,38.53
452,13,789464,0.0
453,19,789464,0.0
454,20,789464,126.25
455,15,789464,216.82
456,16,789464,56.57
457,17,789464,0.0
458,26,789464,0.0
459,14,789464,3.75
460,3,3370290,275.46
461,23,3370290,3.19
462,24,3370290,0.54
463,27,3370290,6.66
464,21,3370290,3.19
465,25,3370290,90.0
466,29,3370290,1.82
467,30,3370290,0.0
468,22,3370290,69.38
469,28,3370290,0.0
470,31,3370290,0.0
471,18,3370290,0.0
472,13,3370290,122.99
473,19,3370290,10.0
474,20,3370290,42.82
475,15,3370290,9.88
476,16,3370290,1.85
477,17,3370290,4.09
478,26,3370290,0.0
479,14,3370290,6.83
480,3,1630001,2971.82
481,23,1630001,9.01
482,24,1630001,340.08
483,27,1630001,40.68
484,21,1630001,257.19
485,25,1630001,0.0
486,29,1630001,25.15
487,30,1630001,324.75
488,22,1630001,0.0
489,28,1630001,0.0
490,31,1630001,0.0
491,18,1630001,11.75
492,13,1630001,0.0
493,19,1630001,0.0
494,20,1630001,33.63
495,15,1630001,0.0
496,16,1630001,1700.0
497,17,1630001,74.85
498,26,1630001,8.67
499,14,1630001,0.0
500,3,892003,65.44
501,23,892003,9.23
502,24,892003,37.11
503,27,892003,0.0
504,21,892003,35.23
505,25,892003,0.0
506,29,892003,0.0
507,30,892003,0.0
508,22,892003,9.65
509,28,892003,0.0
510,31,892003,0.0
511,18,892003,0.0
512,13,892003,0.0
513,19,892003,0.0
514,20,892003,0.0
515,15,892003,13.44
516,16,892003,0.0
517,17,892003,0.0
518,26,892003,0.0
519,14,892003,0.0
520,3,3152933,318.72
521,23,3152933,0.0
522,24,3152933,0.0
523,27,3152933,96.81
524,21,3152933,0.0
525,25,3152933,162.06
526,29,3152933,20.0
527,30,3152933,0.0
528,22,3152933,0.0
529,28,3152933,0.0
530,31,3152933,0.0
531,18,3152933,15.87
532,13,3152933,56.97
533,19,3152933,3450.0
534,20,3152933,0.0
535,15,3152933,115.2
536,16,3152933,0.0
537,17,3152933,0.0
538,26,3152933,0.0
539,14,3152933,0.0
540,3,3057007,121.07
541,23,3057007,0.0
542,24,3057007,0.0
543,27,3057007,0.0
544,21,3057007,0.0
545,25,3057007,0.0
546,29,3057007,0.0
547,30,3057007,0.0
548,22,3057007,0.0
549,28,3057007,0.0
550,31,3057007,0.0
551,18,3057007,0.0
552,13,3057007,0.0
553,19,3057007,0.0
554,20,3057007,0.0
555,15,3057007,0.0
556,16,3057007,0.0
557,17,3057007,0.0
558,26,3057007,0.0
559,14,3057007,0.0
560,3,2406956,199.3
561,23,2406956,0.0
562,24,2406956,781.83
